character,defination
䖟,<big><font color='#f00'>méng</font></big><font face='AR UDJingxihei'><br>• old variant of 虻[méng]<br></font>
䖸,<big><font color='#f00'>é</font></big><font face='AR UDJingxihei'><br>• variant of 蛾[é]<br></font>
䗈,<big><font color='#f00'>méng</font></big><font face='AR UDJingxihei'><br>• old variant of 虻[méng]<br></font>
䗥,<big><font color='#f00'>zōng</font></big><font face='AR UDJingxihei'><br>• see 螉䗥[wēng zōng]<br></font>
䗪,<big><font color='#f00'>zhè</font></big><font face='AR UDJingxihei'><br>• Chinese ground beetle (Eupolyphaga sinensis)<br></font>
䗬,<big><font color='#f00'>fēng</font></big><font face='AR UDJingxihei'><br>• variant of 蜂[fēng]<br></font>
䗶,<big><font color='#f00'>là</font></big><font face='AR UDJingxihei'><br>• old variant of 蠟|蜡[là]<br></font>
䘏,<big><font color='#f00'>xù</font></big><font face='AR UDJingxihei'><br>• variant of 恤[xù]<br></font>
䘑,<big><font color='#f00'>mài</font></big><font face='AR UDJingxihei'><br>• old variant of 脈|脉[mài]<br></font>
䘚,<big><font color='#f00'>zú</font></big><font face='AR UDJingxihei'><br>• variant of 卒[zú]<br></font>
䛐,<big><font color='#f00'>cí</font></big><font face='AR UDJingxihei'><br>• old variant of 詞|词[cí]<br></font>
䛟,<big><font color='#f00'>jiá</font></big><font face='AR UDJingxihei'><br>• variant of 唊[jiá]<br></font>
䝓,<big><font color='#f00'>liè</font></big><font face='AR UDJingxihei'><br>• old variant of 鬣[liè]<br></font>
䝔,<big><font color='#f00'>huān</font></big><font face='AR UDJingxihei'><br>• variant of 獾[huān]<br></font>
䞓,<big><font color='#f00'>chēng</font></big><font face='AR UDJingxihei'><br>• old variant of 赬|赪[chēng]<br></font>
䟆,<big><font color='#f00'>bì</font></big><font face='AR UDJingxihei'><br>• old variant of 蹕|跸[bì]<br></font>
䟖,<big><font color='#f00'>zhǐ</font></big><font face='AR UDJingxihei'><br>• erroneous variant of 趾[zhǐ]<br></font>
䠀,<big><font color='#f00'>chǎng</font></big><font face='AR UDJingxihei'><br>• to squat<br>• to sit<br></font>
䠀,<big><font color='#f00'>tāng</font></big><font face='AR UDJingxihei'><br>• old variant of 趟[tāng]<br></font>
䠞,<big><font color='#f00'>cù</font></big><font face='AR UDJingxihei'><br>• variant of 蹙[cù]<br></font>
䠶,<big><font color='#f00'>shè</font></big><font face='AR UDJingxihei'><br>• old variant of 射[shè]<br></font>
䤈,<big><font color='#f00'>xī</font></big><font face='AR UDJingxihei'><br>• old variant of 醯[xī]<br></font>
䥑,<big><font color='#f00'>mài</font></big><font face='AR UDJingxihei'><br>• meitnerium (chemistry)<br></font>
䥥,<big><font color='#f00'>lián</font></big><font face='AR UDJingxihei'><br>• old variant of 鐮|镰[lián]<br></font>
䥯,<big><font color='#f00'>bà</font></big><font face='AR UDJingxihei'><br>• plow<br></font>
䦉,<big><font color='#f00'>sì</font></big><font face='AR UDJingxihei'><br>• variant of 肆[sì]<br></font>
䦕,<big><font color='#f00'>pēng</font></big><font face='AR UDJingxihei'><br>• variant of 閛[pēng]<br></font>
䩦,<big><font color='#f00'>tiáo</font></big><font face='AR UDJingxihei'><br>• variant of 鞗[tiáo]<br></font>
䫏,<big><font color='#f00'>qī</font></big><font face='AR UDJingxihei'><br>• mask of a god used in ceremonies to exorcise demons and drive away pestilence<br>• (archaic) ugly<br></font>
䬃,<big><font color='#f00'>sà</font></big><font face='AR UDJingxihei'><br>• variant of 颯|飒[sà]<br></font>
䬠,<big><font color='#f00'>fēi</font></big><font face='AR UDJingxihei'><br>• old variant of 霏[fēi]<br></font>
䬪,<big><font color='#f00'>bó</font></big><font face='AR UDJingxihei'><br>• variant of 餺|馎[bó]<br></font>
䭾,<big><font color='#f00'>tuó</font></big><font face='AR UDJingxihei'><br>• variant of 馱|驮[tuó]<br></font>
䯝,<big><font color='#f00'>suǐ</font></big><font face='AR UDJingxihei'><br>• variant of 髓<br>• marrow<br>• essence<br>• quintessence<br>• pith (soft interior of plant stem)<br></font>
